id,duration,blue_gold,red_gold,gold_diff,blue_xp,red_xp,xp_diff,blue_ward_placed,red_ward_placed,ward_placed_diff,blue_ward_destroyed,red_ward_destroyed,ward_destroyed_diff,first_blood,blue_kills,red_kills,kill_diff,first_turret,blue_turrets,red_turrets,turret_diff,first_inhibitor,blue_inhibitors,red_inhibitors,inhibitor_diff,first_herald,blue_heralds,red_heralds,herald_diff,first_baron,blue_barons,red_barons,baron_diff,blue_air,red_air,air_diff,blue_hextech,red_hextech,hextech_diff,blue_fire,red_fire,fire_diff,blue_earth,red_earth,earth_diff,blue_water,red_water,water_diff,air,hextech,fire,earth,water,blue_win
5894089075,2064436,55451,53731,1720,64771,65398,-627,41,58,-17,10,11,-1,-1,28,26,2,1,8,4,4,1,1,0,1,1,2,0,2,-1,0,1,-1,0,0,0,1,2,-1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
5894057071,1999535,49886,49552,334,61336,60566,770,55,49,6,30,10,20,1,25,21,4,1,6,4,2,1,1,0,1,-1,0,2,-2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1
5891684854,1857964,53795,57679,-3884,64157,70285,-6128,49,103,-54,12,12,0,-1,25,33,-8,-1,5,7,-2,-1,0,1,-1,-1,0,2,-2,-1,0,1,-1,0,0,0,0,1,-1,0,0,0,0,1,-1,1,1,0,0,0,0,0,0,0
5891623554,1828746,56584,44490,12094,69795,57384,12411,54,43,11,7,12,-5,1,37,14,23,1,9,1,8,1,2,0,2,-1,0,1,-1,1,1,0,1,0,0,0,2,1,1,0,0,0,0,1,-1,0,1,-1,0,0,0,0,0,1
5902938766,2590493,57059,60774,-3715,68385,72433,-4048,49,113,-64,16,8,8,1,22,40,-18,1,4,7,-3,-1,0,1,-1,1,2,0,2,1,1,0,1,0,2,-2,0,0,0,1,0,1,0,0,0,0,1,-1,0,0,0,0,0,1
5900315114,2039000,59989,53639,6350,74055,66233,7822,55,46,9,6,9,-3,-1,44,34,10,1,7,1,6,1,1,0,1,1,2,0,2,1,1,0,1,0,1,-1,3,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
5900263008,2280390,57221,65138,-7917,69630,73863,-4233,112,50,62,16,15,1,-1,32,48,-16,-1,3,8,-5,-1,0,2,-2,-1,0,2,-2,-1,0,1,-1,0,1,-1,0,2,-2,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0
5898419382,2536408,49369,50448,-1079,61626,59376,2250,60,61,-1,14,15,-1,-1,22,22,0,-1,4,3,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1
5898270047,2351626,53070,55754,-2684,56707,68724,-12017,44,65,-21,9,12,-3,1,30,30,0,1,7,4,3,0,0,0,0,1,1,0,1,-1,0,1,-1,0,2,-2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5897915580,2193960,56307,49947,6360,62342,57791,4551,61,41,20,9,10,-1,1,38,24,14,1,6,3,3,0,0,0,0,1,2,0,2,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5896672349,2290875,53056,58194,-5138,63085,66432,-3347,68,69,-1,7,7,0,-1,25,39,-14,-1,5,7,-2,0,0,0,0,-1,1,1,0,-1,0,1,-1,0,0,0,0,1,-1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0
5896546210,1965163,46336,51993,-5657,53183,59723,-6540,50,50,0,11,12,-1,1,21,34,-13,-1,2,4,-2,-1,0,1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,2,-2,0,0,0,0,-1,0
5895092407,2409903,63362,48366,14996,72748,59548,13200,60,49,11,3,9,-6,-1,46,19,27,1,8,1,7,1,2,0,2,1,2,0,2,1,1,0,1,0,0,0,1,0,1,2,0,2,0,1,-1,0,0,0,0,0,0,0,0,1
5893335283,1995357,58288,54021,4267,70649,62514,8135,49,56,-7,16,10,6,-1,39,23,16,1,7,5,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,0,0,0,0,1,1
5901953420,2439475,57947,47492,10455,68087,58995,9092,58,50,8,13,13,0,1,35,21,14,1,4,1,3,0,0,0,0,-1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
5894369227,2165246,63006,55635,7371,67289,63734,3555,59,68,-9,19,20,-1,1,46,33,13,-1,6,3,3,1,1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,1,-1,0,0,0,0,0,1
5893136927,2081896,49906,53238,-3332,58732,65170,-6438,61,57,4,11,19,-8,1,18,21,-3,1,3,5,-2,0,0,0,0,1,2,0,2,0,0,0,0,0,2,-2,0,0,0,0,1,-1,0,1,-1,0,0,0,-1,0,0,0,0,0
5893049510,2450431,61140,60470,670,68101,68186,-85,51,51,0,9,17,-8,-1,33,47,-14,1,5,3,2,0,0,0,0,1,2,0,2,1,1,0,1,0,1,-1,0,0,0,2,0,2,0,1,-1,0,0,0,0,0,0,0,0,1
5903371348,2808882,55070,55495,-425,59313,64481,-5168,39,41,-2,2,2,0,-1,30,27,3,-1,5,6,-1,0,0,0,0,-1,0,1,-1,-1,0,2,-2,0,0,0,2,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
5902941973,2380735,51670,53014,-1344,64761,67507,-2746,60,61,-1,7,10,-3,1,22,26,-4,1,4,5,-1,0,0,0,0,-1,0,1,-1,-1,0,1,-1,0,0,0,0,0,0,0,1,-1,1,0,1,1,1,0,0,0,0,0,0,1
5902815578,1929350,45297,54100,-8803,57810,61605,-3795,40,57,-17,5,6,-1,-1,19,29,-10,-1,1,7,-6,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,2,-2,0,1,-1,0,0,0,-1,0,0
5901596613,2880977,52432,55662,-3230,69688,69030,658,56,49,7,12,8,4,-1,35,24,11,-1,2,6,-4,0,0,0,0,-1,0,2,-2,0,0,0,0,0,0,0,1,0,1,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,1
5900876911,2284422,54646,57936,-3290,61425,64981,-3556,65,61,4,17,10,7,-1,29,34,-5,1,5,5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
5900077256,1813322,50800,67637,-16837,60189,74099,-13910,46,44,2,4,1,3,-1,32,56,-24,1,2,11,-9,-1,0,2,-2,1,1,1,0,-1,0,1,-1,0,0,0,1,1,0,0,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0
